_1,_2,_3
4.419,4.813,4.868
2.924,2.811,2.753
6.966,6.605,6.736
8.868,8.811,8.391
2.733,2.554,2.508
6.893,6.619,6.232
6.288,6.775,6.125
2.524,2.792,2.93
8.998,8.91,8.643
8.27,8.293,8.249
6.971,6.699,6.597
4.198,4.537,4.058
0.655,0.152,0.414
8.432,8.129,8.819
2.279,2.474,2.31
6.194,6.954,6.896
6.667,6.213,6.364
8.568,8.675,8.595
6.671,6.732,6.051
2.231,2.378,2.292
6.233,6.301,6.363
8.545,8.854,8.755
0.159,0.377,0.898
4.144,4.124,4.112
2.913,2.757,2.703
4.711,4.682,4.919
4.845,4.724,4.763
2.641,2.649,2.127
2.088,2.969,2.782
8.464,8.748,8.997
2.78,2.466,2.31
0.261,0.743,0.668
4.041,4.026,4.751
4.942,4.652,4.761
2.53,2.107,2.924
0.848,0.366,0.354
6.79,6.228,6.793
4.784,4.137,4.174
0.699,0.869,0.248
4.033,4.615,4.75
6.309,6.21,6.177
8.087,8.794,8.018
2.253,2.062,2.638
0.52,0.561,0.39
0.007,0.121,0.407
2.307,2.419,2.073
2.059,2.882,2.034
2.174,2.312,2.269
4.817,4.716,4.49
6.565,6.138,6.085
2.871,2.005,2.873
4.24,4.653,4.995
4.249,4.392,4.858
6.741,6.974,6.996
6.512,6.47,6.99
0.046,0.346,0.364
6.733,6.445,6.262
6.695,6.402,6.328
4.248,4.078,4.086
0.019,0.087,0.484
4.32,4.668,4.826
6.12,6.988,6.057
0.016,0.393,0.176
0.787,0.748,0.79
0.265,0.263,0.436
2.898,2.207,2.619
6.273,6.61,6.174
0.512,0.457,0.328
6.374,6.484,6.78
6.713,6.563,6.441
6.569,6.847,6.011
4.728,4.197,4.789
2.747,2.406,2.368
6.304,6.152,6.274
2.727,2.045,2.556
6.907,6.787,6.394
8.079,8.797,8.588
0.626,0.686,0.636
4.11,4.426,4.419
8.039,8.884,8.154
0.567,0.677,0.613
6.066,6.596,6.031
6.726,6.76,6.646
4.957,4.33,4.442
0.268,0.959,0.128
2.768,2.139,2.769
0.16,0.555,0.643
6.021,6.595,6.904
0.528,0.572,0.519
