name                          	abilities.0          	abilities.1         	abilities.2       	abilities.3      	abilities.4      	abilities.5     	description                                                                                                                                                                     	evolution.0                   	evolution.1     	evolution.2     	evolution.3     	gen     	height     	id      	species                   	stats.attack     	stats.defense     	stats.hp     	stats.sp.atk     	stats.sp.def     	stats.speed     	stats.total     	type.0       	type.1       	weight       
Abomasnow                     	Snow Warning         	Soundproof          	                  	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	4       	2.2m       	460     	Frosted Tree Pokemon      	132              	105               	90           	132              	105              	30              	594             	Grass        	Ice          	135.5 kg     
Abra                          	Inner Focus          	Synchronize         	Magic Guard       	                 	                 	                	Using its psychic power is such a strain on its brain that it needs to sleep for 18 hours a day.                                                                                	Abra                          	Kadabra         	Alakazam        	                	1       	0.89m      	063     	Psi Pokemon               	20               	15                	25           	105              	55               	90              	310             	Psychic      	             	19.5 kg      
Absol                         	Pressure             	Super Luck          	Justified         	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	3       	1.2m       	359     	Disaster Pokemon          	150              	60                	65           	115              	60               	115             	565             	Dark         	             	47 kg        
Accelgor                      	Hydration            	Sticky Hold         	Unburden          	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	5       	0.8m       	617     	Shell Out Pokemon         	70               	40                	80           	100              	60               	145             	495             	Bug          	             	25.3 kg      
Aegislash                     	Stance Change        	                    	                  	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	6       	1.7m       	681     	Royal Sword Pokemon       	150              	50                	60           	150              	50               	60              	520             	Steel        	Ghost        	53 kg        
Aerodactyl                    	Pressure             	Rock Head           	Unnerve           	                 	                 	                	A Pokemon that roamed the skies in the dinosaur era. Its teeth are like saw blades.                                                                                             	                              	                	                	                	1       	1.80m      	142     	Fossil Pokemon            	105              	65                	80           	60               	75               	130             	515             	Rock         	Flying       	59.0 kg      
Aggron                        	Sturdy               	Rock Head           	Heavy Metal       	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	3       	2.1m       	306     	Iron Armor Pokemon        	140              	230               	70           	60               	80               	50              	630             	Steel        	Rock         	360 kg       
Aipom                         	Run Away             	Pickup              	Skill Link        	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	2       	0.8m       	190     	Long Tail Pokemon         	70               	55                	55           	40               	55               	85              	360             	Normal       	             	11.5 kg      
Alakazam                      	Inner Focus          	Synchronize         	Magic Guard       	                 	                 	                	The spoons clutched in its hands are said to have been created by its psychic powers.                                                                                           	Abra                          	Kadabra         	Alakazam        	                	1       	1.50m      	065     	Psi Pokemon               	50               	45                	55           	135              	95               	120             	500             	Psychic      	             	48.0 kg      
Alomomola                     	Healer               	Hydration           	Regenerator       	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	5       	1.2m       	594     	Caring Pokemon            	75               	80                	165          	40               	45               	65              	470             	Water        	             	31.6 kg      
Altaria                       	Natural Cure         	Cloud Nine          	                  	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	3       	1.1m       	334     	Humming Pokemon           	110              	110               	75           	110              	105              	80              	590             	Dragon       	Flying       	20.6 kg      
Amaura                        	Refrigerate          	Snow Warning        	                  	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	6       	1.3m       	698     	Tundra Pokemon            	59               	50                	77           	67               	63               	46              	362             	Rock         	Ice          	25.2 kg      
Ambipom                       	Technician           	Pickup              	Skill Link        	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	4       	1.2m       	424     	Long Tail Pokemon         	100              	66                	75           	60               	66               	115             	482             	Normal       	             	20.3 kg      
Amoonguss                     	Effect Spore         	Regenerator         	                  	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	5       	0.6m       	591     	Mushroom Pokemon          	85               	70                	114          	85               	80               	30              	464             	Grass        	Poison       	10.5 kg      
Ampharos                      	Static               	Plus                	                  	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	2       	1.4m       	181     	Light Pokemon             	95               	105               	90           	165              	110              	45              	610             	Electric     	             	61.5 kg      
Anorith                       	Battle Armor         	Swift Swim          	                  	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	3       	0.7m       	347     	Old Shrimp Pokemon        	95               	50                	45           	40               	50               	75              	355             	Rock         	Bug          	12.5 kg      
Araquanid                     	Water Bubble         	Water Absorb        	                  	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	7       	1.8m       	752     	Water Bubble Pokemon      	70               	92                	68           	50               	132              	42              	454             	Water        	Bug          	82 kg        
Arbok                         	Intimidate           	Shed Skin           	Unnerve           	                 	                 	                	The pattern on its belly is for intimidation. It constricts foes while they are frozen in fear.                                                                                 	Ekans                         	Arbok           	                	                	1       	3.51m      	024     	Cobra Pokemon             	85               	69                	60           	65               	79               	80              	438             	Poison       	             	65.0 kg      
Arcanine                      	Flash Fire           	Intimidate          	Justified         	                 	                 	                	The sight of it running over 6,200 miles in a single day and night has captivated many people.                                                                                  	Growlithe                     	Arcanine        	                	                	1       	1.91m      	059     	Legendary Pokemon         	110              	80                	90           	100              	80               	95              	555             	Fire         	             	155.0 kg     
Arceus                        	Multitype            	                    	                  	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	4       	3.2m       	493     	Alpha Pokemon             	120              	120               	120          	120              	120              	120             	720             	Normal       	             	320 kg       
